Date,Open,High,Low,Close,Adj Close,Volume
2020-04-20,57.549999,57.980000,54.810001,55.619999,55.619999,2355583
2020-04-21,55.400002,55.400002,51.869999,51.959999,51.959999,3277862
2020-04-22,52.500000,53.790001,51.700001,53.529999,53.529999,2009235
2020-04-23,53.860001,54.919998,52.549999,54.250000,54.250000,1805786
2020-04-24,53.540001,53.669998,52.020000,52.340000,52.340000,2081357
2020-04-27,52.990002,53.230000,50.150002,51.070000,51.070000,3880637
2020-04-28,51.070000,54.099998,51.070000,52.880001,52.880001,3707630
2020-04-29,53.200001,58.459999,51.599998,58.389999,58.389999,4838851
2020-04-30,60.000000,65.260002,57.049999,57.880001,57.880001,5434805
2020-05-04,55.000000,55.689999,52.709999,55.000000,55.000000,3824066
2020-05-05,56.270000,57.900002,55.680000,56.439999,56.439999,2531046
2020-05-06,55.900002,56.400002,53.360001,53.700001,53.700001,2373641
2020-05-07,53.799999,56.139999,52.889999,55.750000,55.750000,1949715
2020-05-08,56.779999,57.740002,55.410000,56.070000,56.070000,1293610
2020-05-11,56.529999,56.680000,53.410000,54.500000,54.500000,2054691
2020-05-12,54.299999,54.369999,51.220001,51.220001,51.220001,3642869
2020-05-13,51.000000,51.520000,49.119999,49.599998,49.599998,3583071
2020-05-14,49.049999,50.230000,48.209999,49.880001,49.880001,3419641
2020-05-15,50.119999,50.900002,48.605000,49.310001,49.310001,2592698
2020-05-18,50.020000,55.340000,49.810001,55.340000,55.340000,3792875
2020-05-19,56.340000,57.189999,52.980000,54.230000,54.230000,4179278
2020-05-20,53.840000,55.080002,51.509998,55.049999,55.049999,2979573
2020-05-21,54.299999,55.900002,53.290001,54.650002,54.650002,2440212
2020-05-22,54.000000,55.279999,52.919998,54.040001,54.040001,3006906
2020-05-25,54.970001,58.880001,54.509998,58.639999,58.639999,3477619
2020-05-26,59.270000,63.279999,59.099998,62.810001,62.810001,5591691
2020-05-27,63.490002,64.269997,60.720001,61.130001,61.130001,4407751
2020-05-28,62.070000,62.750000,59.810001,60.119999,60.119999,4058210
2020-05-29,59.380001,59.380001,56.700001,56.700001,56.700001,3864580
2020-06-01,59.180000,59.689999,57.660000,59.439999,59.439999,2304131
2020-06-02,60.020000,63.880001,59.590000,63.700001,63.700001,3938126
2020-06-03,65.410004,68.529999,64.599998,68.410004,68.410004,5333349
2020-06-04,68.410004,73.709999,65.889999,71.980003,71.980003,6944413
2020-06-05,75.300003,80.980003,74.860001,80.980003,80.980003,9357529
2020-06-08,80.500000,84.949997,78.599998,81.910004,81.910004,6926062
2020-06-09,82.500000,85.080002,74.650002,75.669998,75.669998,7255504
2020-06-10,77.349998,80.000000,73.669998,74.959999,74.959999,4459277
2020-06-11,71.349998,73.739998,67.059998,67.059998,67.059998,6610324
2020-06-12,65.989998,71.839996,65.199997,66.949997,66.949997,5584757
2020-06-15,64.750000,68.430000,63.450001,68.000000,68.000000,3675595
2020-06-16,71.139999,72.120003,68.379997,69.830002,69.830002,5092018
2020-06-17,70.000000,70.820000,68.300003,69.750000,69.750000,3408687
2020-06-18,68.360001,69.139999,66.000000,67.820000,67.820000,3997334
2020-06-19,68.800003,69.839996,66.949997,68.860001,68.860001,5582655
2020-06-22,67.879997,68.699997,65.760002,67.260002,67.260002,2118878
2020-06-23,68.099998,69.290001,66.000000,66.760002,66.760002,3046980
2020-06-24,66.699997,67.410004,62.970001,62.970001,62.970001,3412357
2020-06-25,62.520000,64.620003,61.270000,63.919998,63.919998,3561513
2020-06-26,64.370003,65.489998,61.860001,61.880001,61.880001,3309535
2020-06-29,60.889999,64.419998,60.180000,63.349998,63.349998,3287317
2020-06-30,64.660004,65.919998,62.779999,63.520000,63.520000,2988582
2020-07-01,63.599998,65.639999,60.849998,64.190002,64.190002,2876580
2020-07-02,65.139999,67.790001,64.239998,66.410004,66.410004,2989535
